
***** Observations ORDER 1 *****
44|43 -> 45 : 1.0
45|44 -> 46 : 1.0
46|45 -> 36 : 1.0
36|46 -> 26 : 0.5
36|46 -> 46 : 0.5
36|26 -> 37 : 1.0
37|36 -> 38 : 1.0
48|38 -> 49 : 1.0
68|69 -> 67 : 1.0
67|68 -> 77 : 1.0
77|67 -> 78 : 1.0
77|78 -> 67 : 1.0
67|77 -> 66 : 1.0
66|67 -> 56 : 1.0
56|66 -> 57 : 0.5
56|66 -> 46 : 0.5
57|56 -> 56 : 0.5
57|56 -> 58 : 0.5
56|57 -> 57 : 1.0
58|57 -> 68 : 1.0
68|58 -> 58 : 1.0
58|68 -> 48 : 1.0
48|58 -> 47 : 1.0
37|47 -> 36 : 1.0
36|37 -> 35 : 1.0
36|35 -> 46 : 1.0
46|36 -> 56 : 0.5
46|36 -> 45 : 0.5
56|46 -> 66 : 1.0
66|56 -> 56 : 1.0
46|56 -> 36 : 1.0
45|46 -> 44 : 1.0
44|45 -> 54 : 1.0
54|44 -> 44 : 1.0
44|54 -> 43 : 1.0
43|44 -> 33 : 1.0
33|43 -> 34 : 1.0
23|24 -> 33 : 1.0
33|23 -> 23 : 1.0
23|33 -> 33 : 0.5
23|33 -> 22 : 0.5
22|23 -> 32 : 1.0
22|32 -> 23 : 1.0
23|22 -> 13 : 1.0
3|4 -> 93 : 1.0
93|3 -> 83 : 1.0
83|93 -> 93 : 1.0
93|83 -> 3 : 0.6666666666666666
93|83 -> 92 : 0.3333333333333333
3|93 -> 93 : 0.5
3|93 -> 2 : 0.5
92|93 -> 2 : 1.0
2|92 -> 92 : 1.0
92|2 -> 82 : 1.0
83|82 -> 73 : 1.0
73|83 -> 83 : 1.0
83|73 -> 93 : 1.0
2|3 -> 12 : 1.0
12|2 -> 2 : 0.5
12|2 -> 11 : 0.5
2|12 -> 12 : 1.0


***** Observations ORDER 3 *****
36|46.45 -> 26 : 1
56|66.67 -> 57 : 1
57|56.66 -> 56 : 1
57|56.57 -> 58 : 1
46|36.35 -> 56 : 1
56|66.56 -> 46 : 1
36|46.56 -> 46 : 1
46|36.46 -> 45 : 1
23|33.23 -> 33 : 1
23|33.23 -> 22 : 1
93|83.93 -> 3 : 1
93|83.93 -> 92 : 1
3|93.83 -> 93 : 1
3|93.83 -> 2 : 1
93|83.73 -> 3 : 1
12|2.3 -> 2 : 1
12|2.12 -> 11 : 1


***** Distributions ORDER 3 *****
36|46.45 -> 26 : 1.0
56|66.67 -> 57 : 1.0
57|56.66 -> 56 : 1.0
57|56.57 -> 58 : 1.0
46|36.35 -> 56 : 1.0
56|66.56 -> 46 : 1.0
36|46.56 -> 46 : 1.0
46|36.46 -> 45 : 1.0
23|33.23 -> 33 : 0.5
23|33.23 -> 22 : 0.5
93|83.93 -> 3 : 0.5
93|83.93 -> 92 : 0.5
3|93.83 -> 93 : 0.5
3|93.83 -> 2 : 0.5
93|83.73 -> 3 : 1.0
12|2.3 -> 2 : 1.0
12|2.12 -> 11 : 1.0


***** Observations ORDER 4 *****
23|33.23.24 -> 33 : 1
23|33.23.33 -> 22 : 1
93|83.93.3 -> 3 : 1
93|83.93.3 -> 92 : 1
3|93.83.93 -> 93 : 1
3|93.83.73 -> 2 : 1


***** Distributions ORDER 4 *****
23|33.23.24 -> 33 : 1.0
23|33.23.33 -> 22 : 1.0
93|83.93.3 -> 3 : 0.5
93|83.93.3 -> 92 : 0.5
3|93.83.93 -> 93 : 1.0
3|93.83.73 -> 2 : 1.0


***** Observations ORDER 5 *****
93|83.93.3.4 -> 3 : 1
93|83.93.3.93 -> 92 : 1


***** Distributions ORDER 5 *****
93|83.93.3.4 -> 3 : 1.0
93|83.93.3.93 -> 92 : 1.0


***** Observations ORDER 1 *****
46 -> 47 : 1
46 -> 45 : 1
47 -> 48 : 1
47 -> 46 : 1
