
***** Observations ORDER 1 *****
36|35 -> 46 : 0.5
36|35 -> 26 : 0.5
56|46 -> 55 : 0.5
56|46 -> 66 : 0.5
35|45 -> 36 : 0.5
35|45 -> 34 : 0.5
26|36 -> 25 : 1.0
25|26 -> 26 : 1.0
26|25 -> 27 : 1.0
26|16 -> 36 : 1.0
36|26 -> 46 : 1.0
56|66 -> 55 : 1.0
34|35 -> 24 : 1.0
34|24 -> 44 : 1.0
44|34 -> 54 : 1.0


***** Observations ORDER 3 *****
0|90.0 -> 90 : 1
0|90.0 -> 9 : 1
99|9.0 -> 9 : 1
99|9.99 -> 89 : 1
89|99.9 -> 99 : 1
89|99.89 -> 79 : 1
79|89.99 -> 78 : 1
79|89.99 -> 70 : 1
89|99.98 -> 79 : 1
70|79.89 -> 79 : 1
70|79.70 -> 79 : 1
70|79.70 -> 80 : 1
59|58.59 -> 69 : 1
59|58.68 -> 50 : 1
33|32.42 -> 32 : 1
33|32.33 -> 43 : 1
24|34.44 -> 25 : 1
36|35.25 -> 46 : 1
56|46.36 -> 55 : 1
56|46.36 -> 66 : 1
35|45.55 -> 36 : 1
35|45.55 -> 34 : 1
36|35.45 -> 26 : 1
24|34.35 -> 34 : 1


***** Distributions ORDER 3 *****
0|90.0 -> 90 : 0.5
0|90.0 -> 9 : 0.5
99|9.0 -> 9 : 1.0
99|9.99 -> 89 : 1.0
89|99.9 -> 99 : 1.0
89|99.89 -> 79 : 1.0
79|89.99 -> 78 : 0.5
79|89.99 -> 70 : 0.5
89|99.98 -> 79 : 1.0
70|79.89 -> 79 : 1.0
70|79.70 -> 79 : 0.5
70|79.70 -> 80 : 0.5
59|58.59 -> 69 : 1.0
59|58.68 -> 50 : 1.0
33|32.42 -> 32 : 1.0
33|32.33 -> 43 : 1.0
24|34.44 -> 25 : 1.0
36|35.25 -> 46 : 1.0
56|46.36 -> 55 : 0.5
56|46.36 -> 66 : 0.5
35|45.55 -> 36 : 0.5
35|45.55 -> 34 : 0.5
36|35.45 -> 26 : 1.0
24|34.35 -> 34 : 1.0


***** Observations ORDER 4 *****
0|90.0.1 -> 90 : 1
0|90.0.90 -> 9 : 1
79|89.99.89 -> 78 : 1
79|89.99.98 -> 70 : 1
70|79.70.79 -> 79 : 1
70|79.70.79 -> 80 : 1
56|46.36.35 -> 55 : 1
35|45.55.56 -> 36 : 1
35|45.55.56 -> 34 : 1
56|46.36.26 -> 66 : 1


***** Distributions ORDER 4 *****
0|90.0.1 -> 90 : 1.0
0|90.0.90 -> 9 : 1.0
79|89.99.89 -> 78 : 1.0
79|89.99.98 -> 70 : 1.0
70|79.70.79 -> 79 : 0.5
70|79.70.79 -> 80 : 0.5
56|46.36.35 -> 55 : 1.0
35|45.55.56 -> 36 : 0.5
35|45.55.56 -> 34 : 0.5
56|46.36.26 -> 66 : 1.0


***** Observations ORDER 5 *****
70|79.70.79.89 -> 79 : 1
70|79.70.79.70 -> 80 : 1
35|45.55.56.46 -> 36 : 1
35|45.55.56.66 -> 34 : 1


***** Distributions ORDER 5 *****
70|79.70.79.89 -> 79 : 1.0
70|79.70.79.70 -> 80 : 1.0
35|45.55.56.46 -> 36 : 1.0
35|45.55.56.66 -> 34 : 1.0


***** Observations ORDER 1 *****
46 -> 47 : 3
46 -> 36 : 1
46 -> 56 : 1
46 -> 45 : 1
47 -> 37 : 1
47 -> 46 : 2
47 -> 57 : 1
37 -> 36 : 1
37 -> 38 : 1
37 -> 47 : 1
36 -> 46 : 1
36 -> 35 : 1
36 -> 37 : 1
35 -> 34 : 2
35 -> 45 : 1
35 -> 36 : 1
34 -> 44 : 1
34 -> 33 : 1
34 -> 24 : 1
34 -> 35 : 2
44 -> 34 : 2
44 -> 45 : 3
33 -> 43 : 1
33 -> 32 : 1
43 -> 33 : 1
43 -> 44 : 1
32 -> 42 : 1
42 -> 41 : 1
42 -> 43 : 1
41 -> 31 : 1
41 -> 42 : 1
31 -> 21 : 2
31 -> 41 : 1
21 -> 31 : 1
21 -> 22 : 1
22 -> 12 : 1
12 -> 11 : 1
11 -> 10 : 1
10 -> 20 : 1
10 -> 0 : 1
10 -> 19 : 1
20 -> 10 : 1
20 -> 30 : 1
0 -> 10 : 1
19 -> 29 : 3
29 -> 19 : 1
29 -> 28 : 2
28 -> 18 : 1
28 -> 38 : 1
18 -> 17 : 2
18 -> 19 : 1
17 -> 18 : 2
17 -> 7 : 1
7 -> 6 : 1
6 -> 5 : 1
6 -> 16 : 1
5 -> 6 : 1
16 -> 26 : 1
16 -> 17 : 1
26 -> 16 : 1
38 -> 37 : 1
38 -> 39 : 1
39 -> 30 : 1
39 -> 49 : 2
30 -> 39 : 1
30 -> 20 : 1
30 -> 31 : 1
49 -> 39 : 1
49 -> 40 : 1
40 -> 30 : 1
45 -> 44 : 3
45 -> 46 : 1
45 -> 55 : 1
45 -> 35 : 1
56 -> 55 : 1
56 -> 46 : 1
55 -> 56 : 1
55 -> 45 : 1
24 -> 34 : 1
57 -> 58 : 1
58 -> 48 : 1
48 -> 49
 : 1


***** Distributions ORDER 1 *****
46 -> 47 : 0.5
46 -> 36 : 0.16666666666666666
46 -> 56 : 0.16666666666666666
46 -> 45 : 0.16666666666666666
47 -> 37 : 0.25
47 -> 46 : 0.5
47 -> 57 : 0.25
37 -> 36 : 0.3333333333333333
37 -> 38 : 0.3333333333333333
37 -> 47 : 0.3333333333333333
36 -> 46 : 0.3333333333333333
36 -> 35 : 0.3333333333333333
36 -> 37 : 0.3333333333333333
35 -> 34 : 0.5
35 -> 45 : 0.25
35 -> 36 : 0.25
34 -> 44 : 0.2
34 -> 33 : 0.2
34 -> 24 : 0.2
34 -> 35 : 0.4
44 -> 34 : 0.4
44 -> 45 : 0.6
33 -> 43 : 0.5
33 -> 32 : 0.5
43 -> 33 : 0.5
43 -> 44 : 0.5
32 -> 42 : 1.0
42 -> 41 : 0.5
42 -> 43 : 0.5
41 -> 31 : 0.5
41 -> 42 : 0.5
31 -> 21 : 0.6666666666666666
31 -> 41 : 0.3333333333333333
21 -> 31 : 0.5
21 -> 22 : 0.5
22 -> 12 : 1.0
12 -> 11 : 1.0
11 -> 10 : 1.0
10 -> 20 : 0.3333333333333333
10 -> 0 : 0.3333333333333333
10 -> 19 : 0.3333333333333333
20 -> 10 : 0.5
20 -> 30 : 0.5
0 -> 10 : 1.0
19 -> 29 : 1.0
29 -> 19 : 0.3333333333333333
29 -> 28 : 0.6666666666666666
28 -> 18 : 0.5
28 -> 38 : 0.5
18 -> 17 : 0.6666666666666666
18 -> 19 : 0.3333333333333333
17 -> 18 : 0.6666666666666666
17 -> 7 : 0.3333333333333333
7 -> 6 : 1.0
6 -> 5 : 0.5
6 -> 16 : 0.5
5 -> 6 : 1.0
16 -> 26 : 0.5
16 -> 17 : 0.5
26 -> 16 : 1.0
38 -> 37 : 0.5
38 -> 39 : 0.5
39 -> 30 : 0.3333333333333333
39 -> 49 : 0.6666666666666666
30 -> 39 : 0.3333333333333333
30 -> 20 : 0.3333333333333333
30 -> 31 : 0.3333333333333333
49 -> 39 : 0.5
49 -> 40 : 0.5
40 -> 30 : 1.0
45 -> 44 : 0.5
45 -> 46 : 0.16666666666666666
45 -> 55 : 0.16666666666666666
45 -> 35 : 0.16666666666666666
56 -> 55 : 0.5
56 -> 46 : 0.5
55 -> 56 : 0.5
55 -> 45 : 0.5
24 -> 34 : 1.0
57 -> 58 : 1.0
58 -> 48 : 1.0
48 -> 49
 : 1.0


***** Observations ORDER 2 *****
47|46 -> 37 : 1
47|46 -> 46 : 2
37|47 -> 36 : 1
36|37 -> 46 : 1
46|36 -> 36 : 1
36|46 -> 35 : 1
35|36 -> 34 : 1
34|35 -> 44 : 1
34|35 -> 24 : 1
44|34 -> 34 : 1
34|44 -> 33 : 1
34|44 -> 35 : 1
33|34 -> 43 : 1
43|33 -> 33 : 1
33|43 -> 32 : 1
42|32 -> 41 : 1
41|42 -> 31 : 1
31|41 -> 21 : 1
21|31 -> 31 : 1
21|31 -> 22 : 1
31|21 -> 21 : 1
10|11 -> 20 : 1
20|10 -> 10 : 1
10|20 -> 0 : 1
10|0 -> 19 : 1
29|19 -> 19 : 1
29|19 -> 28 : 2
28|29 -> 18 : 1
28|29 -> 38 : 1
18|28 -> 17 : 1
17|18 -> 18 : 1
17|18 -> 7 : 1
18|17 -> 17 : 1
18|17 -> 19 : 1
6|7 -> 5 : 1
6|5 -> 16 : 1
16|6 -> 26 : 1
16|26 -> 17 : 1
17|16 -> 18 : 1
38|28 -> 37 : 1
37|38 -> 38 : 1
38|37 -> 39 : 1
39|38 -> 30 : 1
30|39 -> 39 : 1
39|30 -> 49 : 1
49|39 -> 39 : 1
49|39 -> 40 : 1
39|49 -> 49 : 1
30|40 -> 20 : 1
20|30 -> 30 : 1
30|20 -> 31 : 1
31|30 -> 41 : 1
41|31 -> 42 : 1
42|41 -> 43 : 1
43|42 -> 44 : 1
44|43 -> 45 : 1
45|44 -> 44 : 1
45|44 -> 46 : 1
45|44 -> 35 : 1
44|45 -> 45 : 2
44|45 -> 34 : 1
46|45 -> 47 : 1
46|47 -> 47 : 1
46|47 -> 56 : 1
56|46 -> 55 : 1
55|56 -> 56 : 1
56|55 -> 46 : 1
46|56 -> 45 : 1
45|46 -> 55 : 1
55|45 -> 45 : 1
45|55 -> 44 : 1
35|45 -> 34 : 1
34|24 -> 35 : 1
35|34 -> 45 : 1
35|34 -> 36 : 1
45|35 -> 44 : 1
36|35 -> 37 : 1
37|36 -> 47 : 1
47|37 -> 57 : 1


***** Distributions ORDER 2 *****
47|46 -> 37 : 0.3333333333333333
47|46 -> 46 : 0.6666666666666666
37|47 -> 36 : 1.0
36|37 -> 46 : 1.0
46|36 -> 36 : 1.0
36|46 -> 35 : 1.0
35|36 -> 34 : 1.0
34|35 -> 44 : 0.5
34|35 -> 24 : 0.5
44|34 -> 34 : 1.0
34|44 -> 33 : 0.5
34|44 -> 35 : 0.5
33|34 -> 43 : 1.0
43|33 -> 33 : 1.0
33|43 -> 32 : 1.0
42|32 -> 41 : 1.0
41|42 -> 31 : 1.0
31|41 -> 21 : 1.0
21|31 -> 31 : 0.5
21|31 -> 22 : 0.5
31|21 -> 21 : 1.0
10|11 -> 20 : 1.0
20|10 -> 10 : 1.0
10|20 -> 0 : 1.0
10|0 -> 19 : 1.0
29|19 -> 19 : 0.3333333333333333
29|19 -> 28 : 0.6666666666666666
28|29 -> 18 : 0.5
28|29 -> 38 : 0.5
18|28 -> 17 : 1.0
17|18 -> 18 : 0.5
17|18 -> 7 : 0.5
18|17 -> 17 : 0.5
18|17 -> 19 : 0.5
6|7 -> 5 : 1.0
6|5 -> 16 : 1.0
16|6 -> 26 : 1.0
16|26 -> 17 : 1.0
17|16 -> 18 : 1.0
38|28 -> 37 : 1.0
37|38 -> 38 : 1.0
38|37 -> 39 : 1.0
39|38 -> 30 : 1.0
30|39 -> 39 : 1.0
39|30 -> 49 : 1.0
49|39 -> 39 : 0.5
49|39 -> 40 : 0.5
39|49 -> 49 : 1.0
30|40 -> 20 : 1.0
20|30 -> 30 : 1.0
30|20 -> 31 : 1.0
31|30 -> 41 : 1.0
41|31 -> 42 : 1.0
42|41 -> 43 : 1.0
43|42 -> 44 : 1.0
44|43 -> 45 : 1.0
45|44 -> 44 : 0.3333333333333333
45|44 -> 46 : 0.3333333333333333
45|44 -> 35 : 0.3333333333333333
44|45 -> 45 : 0.6666666666666666
44|45 -> 34 : 0.3333333333333333
46|45 -> 47 : 1.0
46|47 -> 47 : 0.5
46|47 -> 56 : 0.5
56|46 -> 55 : 1.0
55|56 -> 56 : 1.0
56|55 -> 46 : 1.0
46|56 -> 45 : 1.0
45|46 -> 55 : 1.0
55|45 -> 45 : 1.0
45|55 -> 44 : 1.0
35|45 -> 34 : 1.0
34|24 -> 35 : 1.0
35|34 -> 45 : 0.5
35|34 -> 36 : 0.5
45|35 -> 44 : 1.0
36|35 -> 37 : 1.0
37|36 -> 47 : 1.0
47|37 -> 57 : 1.0


***** Observations ORDER 3 *****
34|35.36 -> 44 : 1
34|44.34 -> 33 : 1
21|31.41 -> 31 : 1
21|31.21 -> 22 : 1
29|19.10 -> 19 : 1
29|19.29 -> 28 : 1
28|29.19 -> 18 : 1
28|29.19 -> 38 : 1
17|18.28 -> 18 : 1
18|17.18 -> 17 : 1
17|18.17 -> 7 : 1
18|17.16 -> 19 : 1
29|19.18 -> 28 : 1
49|39.30 -> 39 : 1
49|39.49 -> 40 : 1
45|44.43 -> 44 : 1
44|45.44 -> 45 : 1
45|44.45 -> 46 : 1
45|44.45 -> 35 : 1
47|46.45 -> 46 : 1
46|47.46 -> 47 : 1
46|47.46 -> 56 : 1
47|46.47 -> 46 : 1
44|45.55 -> 45 : 1
34|35.45 -> 24 : 1
35|34.24 -> 45 : 1
44|45.35 -> 34 : 1
34|44.45 -> 35 : 1
35|34.44 -> 36 : 1


***** Distributions ORDER 3 *****
34|35.36 -> 44 : 1.0
34|44.34 -> 33 : 1.0
21|31.41 -> 31 : 1.0
21|31.21 -> 22 : 1.0
29|19.10 -> 19 : 1.0
29|19.29 -> 28 : 1.0
28|29.19 -> 18 : 0.5
28|29.19 -> 38 : 0.5
17|18.28 -> 18 : 1.0
18|17.18 -> 17 : 1.0
17|18.17 -> 7 : 1.0
18|17.16 -> 19 : 1.0
29|19.18 -> 28 : 1.0
49|39.30 -> 39 : 1.0
49|39.49 -> 40 : 1.0
45|44.43 -> 44 : 1.0
44|45.44 -> 45 : 1.0
45|44.45 -> 46 : 0.5
45|44.45 -> 35 : 0.5
47|46.45 -> 46 : 1.0
46|47.46 -> 47 : 0.5
46|47.46 -> 56 : 0.5
47|46.47 -> 46 : 1.0
44|45.55 -> 45 : 1.0
34|35.45 -> 24 : 1.0
35|34.24 -> 45 : 1.0
44|45.35 -> 34 : 1.0
34|44.45 -> 35 : 1.0
35|34.44 -> 36 : 1.0


***** Observations ORDER 4 *****
28|29.19.29 -> 18 : 1
28|29.19.18 -> 38 : 1
45|44.45.44 -> 46 : 1
46|47.46.45 -> 47 : 1
46|47.46.47 -> 56 : 1
45|44.45.55 -> 35 : 1


***** Distributions ORDER 4 *****
28|29.19.29 -> 18 : 1.0
28|29.19.18 -> 38 : 1.0
45|44.45.44 -> 46 : 1.0
46|47.46.45 -> 47 : 1.0
46|47.46.47 -> 56 : 1.0
45|44.45.55 -> 35 : 1.0


***** Observations ORDER 1 *****
50 -> 40 : 2
50 -> 59 : 1
50 -> 51 : 1
40 -> 41 : 1
40 -> 30 : 1
41 -> 42 : 1
41 -> 51 : 1
42 -> 41 : 1
51 -> 50 : 1
51 -> 61 : 2
59 -> 50 : 2
61 -> 51 : 1
61 -> 60 : 1
60 -> 69 : 2
69 -> 60 : 1
69 -> 79 : 2
79 -> 78 : 1
79 -> 69 : 1
79 -> 70 : 1
78 -> 79 : 1
70 -> 80 : 1
80 -> 81 : 2
81 -> 91 : 2
91 -> 92 : 1
91 -> 1 : 1
92 -> 82 : 1
82 -> 83 : 2
83 -> 93 : 2
83 -> 82 : 1
83 -> 84 : 1
93 -> 83 : 2
84 -> 85 : 1
85 -> 75 : 1
85 -> 86 : 1
75 -> 85 : 1
86 -> 76 : 1
86 -> 96 : 1
86 -> 87 : 1
76 -> 66 : 3
76 -> 86 : 1
66 -> 67 : 2
66 -> 76 : 3
66 -> 56 : 1
67 -> 66 : 2
56 -> 66 : 1
96 -> 86 : 1
87 -> 88 : 1
88 -> 89 : 1
89 -> 80 : 1
1 -> 11 : 1
11 -> 10 : 1
10 -> 0 : 1
10 -> 19 : 1
0 -> 9 : 1
9 -> 19 : 1
19 -> 29 : 2
19 -> 10 : 1
19 -> 18 : 1
29 -> 19 : 1
29 -> 28 : 1
28 -> 18 : 1
28 -> 27 : 1
18 -> 19 : 1
18 -> 28 : 1
27 -> 26 : 1
26 -> 36 : 2
26 -> 25 : 1
36 -> 46 : 1
36 -> 26 : 1
36 -> 37 : 1
46 -> 36 : 1
25 -> 15 : 1
15 -> 16 : 1
16 -> 26 : 1
37 -> 38 : 1
38 -> 48 : 1
48 -> 58 : 1
58 -> 59 : 1
30 -> 20 : 1
20 -> 21 : 1
21 -> 31
 : 1


***** Distributions ORDER 1 *****
50 -> 40 : 0.5
50 -> 59 : 0.25
50 -> 51 : 0.25
40 -> 41 : 0.5
40 -> 30 : 0.5
41 -> 42 : 0.5
41 -> 51 : 0.5
42 -> 41 : 1.0
51 -> 50 : 0.3333333333333333
51 -> 61 : 0.6666666666666666
59 -> 50 : 1.0
61 -> 51 : 0.5
61 -> 60 : 0.5
60 -> 69 : 1.0
69 -> 60 : 0.3333333333333333
69 -> 79 : 0.6666666666666666
79 -> 78 : 0.3333333333333333
79 -> 69 : 0.3333333333333333
79 -> 70 : 0.3333333333333333
78 -> 79 : 1.0
70 -> 80 : 1.0
80 -> 81 : 1.0
81 -> 91 : 1.0
91 -> 92 : 0.5
91 -> 1 : 0.5
92 -> 82 : 1.0
82 -> 83 : 1.0
83 -> 93 : 0.5
83 -> 82 : 0.25
83 -> 84 : 0.25
93 -> 83 : 1.0
84 -> 85 : 1.0
85 -> 75 : 0.5
85 -> 86 : 0.5
75 -> 85 : 1.0
86 -> 76 : 0.3333333333333333
86 -> 96 : 0.3333333333333333
86 -> 87 : 0.3333333333333333
76 -> 66 : 0.75
76 -> 86 : 0.25
66 -> 67 : 0.3333333333333333
66 -> 76 : 0.5
66 -> 56 : 0.16666666666666666
67 -> 66 : 1.0
56 -> 66 : 1.0
96 -> 86 : 1.0
87 -> 88 : 1.0
88 -> 89 : 1.0
89 -> 80 : 1.0
1 -> 11 : 1.0
11 -> 10 : 1.0
10 -> 0 : 0.5
10 -> 19 : 0.5
0 -> 9 : 1.0
9 -> 19 : 1.0
19 -> 29 : 0.5
19 -> 10 : 0.25
19 -> 18 : 0.25
29 -> 19 : 0.5
29 -> 28 : 0.5
28 -> 18 : 0.5
28 -> 27 : 0.5
18 -> 19 : 0.5
18 -> 28 : 0.5
27 -> 26 : 1.0
26 -> 36 : 0.6666666666666666
26 -> 25 : 0.3333333333333333
36 -> 46 : 0.3333333333333333
36 -> 26 : 0.3333333333333333
36 -> 37 : 0.3333333333333333
46 -> 36 : 1.0
25 -> 15 : 1.0
15 -> 16 : 1.0
16 -> 26 : 1.0
37 -> 38 : 1.0
38 -> 48 : 1.0
48 -> 58 : 1.0
58 -> 59 : 1.0
30 -> 20 : 1.0
20 -> 21 : 1.0
21 -> 31
 : 1.0


***** Observations ORDER 2 *****
40|50 -> 41 : 1
40|50 -> 30 : 1
41|40 -> 42 : 1
41|42 -> 51 : 1
51|41 -> 50 : 1
50|51 -> 59 : 1
50|59 -> 51 : 1
50|59 -> 40 : 1
51|50 -> 61 : 1
61|51 -> 51 : 1
61|51 -> 60 : 1
51|61 -> 61 : 1
69|60 -> 60 : 1
69|60 -> 79 : 1
79|69 -> 78 : 1
79|69 -> 70 : 1
79|78 -> 69 : 1
69|79 -> 79 : 1
91|81 -> 92 : 1
91|81 -> 1 : 1
83|82 -> 93 : 2
83|93 -> 82 : 1
83|93 -> 84 : 1
85|84 -> 75 : 1
85|75 -> 86 : 1
86|85 -> 76 : 1
76|86 -> 66 : 1
66|76 -> 67 : 2
66|76 -> 76 : 1
66|67 -> 76 : 1
66|67 -> 56 : 1
76|66 -> 66 : 2
76|66 -> 86 : 1
66|56 -> 76 : 1
86|76 -> 96 : 1
86|96 -> 87 : 1
10|11 -> 0 : 1
19|9 -> 29 : 1
29|19 -> 19 : 1
29|19 -> 28 : 1
19|29 -> 10 : 1
10|19 -> 19 : 1
19|10 -> 29 : 1
28|29 -> 18 : 1
18|28 -> 19 : 1
19|18 -> 18 : 1
18|19 -> 28 : 1
28|18 -> 27 : 1
26|27 -> 36 : 1
36|26 -> 46 : 1
36|26 -> 37 : 1
36|46 -> 26 : 1
26|36 -> 25 : 1
26|16 -> 36 : 1


***** Distributions ORDER 2 *****
40|50 -> 41 : 0.5
40|50 -> 30 : 0.5
41|40 -> 42 : 1.0
41|42 -> 51 : 1.0
51|41 -> 50 : 1.0
50|51 -> 59 : 1.0
50|59 -> 51 : 0.5
50|59 -> 40 : 0.5
51|50 -> 61 : 1.0
61|51 -> 51 : 0.5
61|51 -> 60 : 0.5
51|61 -> 61 : 1.0
69|60 -> 60 : 0.5
69|60 -> 79 : 0.5
79|69 -> 78 : 0.5
79|69 -> 70 : 0.5
79|78 -> 69 : 1.0
69|79 -> 79 : 1.0
91|81 -> 92 : 0.5
91|81 -> 1 : 0.5
83|82 -> 93 : 1.0
83|93 -> 82 : 0.5
83|93 -> 84 : 0.5
85|84 -> 75 : 1.0
85|75 -> 86 : 1.0
86|85 -> 76 : 1.0
76|86 -> 66 : 1.0
66|76 -> 67 : 0.6666666666666666
66|76 -> 76 : 0.3333333333333333
66|67 -> 76 : 0.5
66|67 -> 56 : 0.5
76|66 -> 66 : 0.6666666666666666
76|66 -> 86 : 0.3333333333333333
66|56 -> 76 : 1.0
86|76 -> 96 : 1.0
86|96 -> 87 : 1.0
10|11 -> 0 : 1.0
19|9 -> 29 : 1.0
29|19 -> 19 : 0.5
29|19 -> 28 : 0.5
19|29 -> 10 : 1.0
10|19 -> 19 : 1.0
19|10 -> 29 : 1.0
28|29 -> 18 : 1.0
18|28 -> 19 : 1.0
19|18 -> 18 : 1.0
18|19 -> 28 : 1.0
28|18 -> 27 : 1.0
26|27 -> 36 : 1.0
36|26 -> 46 : 0.5
36|26 -> 37 : 0.5
36|46 -> 26 : 1.0
26|36 -> 25 : 1.0
26|16 -> 36 : 1.0


***** Observations ORDER 3 *****
50|59.50 -> 51 : 1
61|51.50 -> 51 : 1
61|51.61 -> 60 : 1
69|60.61 -> 60 : 1
69|60.69 -> 79 : 1
79|69.60 -> 78 : 1
79|69.79 -> 70 : 1
91|81.80 -> 92 : 1
91|81.80 -> 1 : 1
83|93.83 -> 82 : 1
83|93.83 -> 84 : 1
66|76.86 -> 67 : 1
66|67.66 -> 76 : 1
66|67.66 -> 56 : 1
76|66.67 -> 66 : 1
66|76.66 -> 76 : 1
66|76.66 -> 67 : 1
76|66.76 -> 66 : 1
76|66.56 -> 86 : 1
29|19.9 -> 19 : 1
29|19.10 -> 28 : 1
36|26.27 -> 46 : 1
36|26.16 -> 37 : 1
50|59.58 -> 40 : 1
40|50.59 -> 30 : 1


***** Distributions ORDER 3 *****
50|59.50 -> 51 : 1.0
61|51.50 -> 51 : 1.0
61|51.61 -> 60 : 1.0
69|60.61 -> 60 : 1.0
69|60.69 -> 79 : 1.0
79|69.60 -> 78 : 1.0
79|69.79 -> 70 : 1.0
91|81.80 -> 92 : 0.5
91|81.80 -> 1 : 0.5
83|93.83 -> 82 : 0.5
83|93.83 -> 84 : 0.5
66|76.86 -> 67 : 1.0
66|67.66 -> 76 : 0.5
66|67.66 -> 56 : 0.5
76|66.67 -> 66 : 1.0
66|76.66 -> 76 : 0.5
66|76.66 -> 67 : 0.5
76|66.76 -> 66 : 1.0
76|66.56 -> 86 : 1.0
29|19.9 -> 19 : 1.0
29|19.10 -> 28 : 1.0
36|26.27 -> 46 : 1.0
36|26.16 -> 37 : 1.0
50|59.58 -> 40 : 1.0
40|50.59 -> 30 : 1.0


***** Observations ORDER 4 *****
91|81.80.70 -> 92 : 1
83|93.83.82 -> 82 : 1
83|93.83.82 -> 84 : 1
66|67.66.76 -> 76 : 1
66|67.66.76 -> 56 : 1
66|76.66.67 -> 76 : 1
66|76.66.76 -> 67 : 1
91|81.80.89 -> 1 : 1


***** Distributions ORDER 4 *****
91|81.80.70 -> 92 : 1.0
83|93.83.82 -> 82 : 0.5
83|93.83.82 -> 84 : 0.5
66|67.66.76 -> 76 : 0.5
66|67.66.76 -> 56 : 0.5
66|76.66.67 -> 76 : 1.0
66|76.66.76 -> 67 : 1.0
91|81.80.89 -> 1 : 1.0


***** Observations ORDER 5 *****
83|93.83.82.92 -> 82 : 1
83|93.83.82.83 -> 84 : 1
66|67.66.76.86 -> 76 : 1
66|67.66.76.66 -> 56 : 1


***** Distributions ORDER 5 *****
83|93.83.82.92 -> 82 : 1.0
83|93.83.82.83 -> 84 : 1.0
66|67.66.76.86 -> 76 : 1.0
66|67.66.76.66 -> 56 : 1.0


***** Observations ORDER 1 *****
16 -> 17 : 2
16 -> 15 : 1
16 -> 26 : 1
17 -> 27 : 1
17 -> 7 : 1
17 -> 18 : 1
27 -> 28 : 2
27 -> 26 : 1
28 -> 27 : 1
28 -> 38 : 2
26 -> 16 : 2
26 -> 36 : 1
26 -> 27 : 1
15 -> 25 : 1
15 -> 5 : 1
15 -> 16 : 1
25 -> 26 : 1
25 -> 24 : 1
36 -> 37 : 1
36 -> 26 : 1
36 -> 35 : 1
37 -> 36 : 2
37 -> 47 : 1
38 -> 37 : 1
38 -> 48 : 1
35 -> 25 : 1
24 -> 14 : 1
24 -> 23 : 1
14 -> 15 : 1
5 -> 15 : 1
7 -> 8 : 1
8 -> 18 : 1
18 -> 17 : 1
18 -> 28 : 1
48 -> 49 : 3
48 -> 47 : 1
49 -> 59 : 1
49 -> 48 : 1
49 -> 40 : 1
59 -> 69 : 1
59 -> 58 : 1
69 -> 59 : 1
58 -> 57 : 1
57 -> 47 : 1
47 -> 48 : 2
47 -> 37 : 1
40 -> 50 : 1
40 -> 30 : 1
50 -> 51 : 1
50 -> 60 : 1
50 -> 40 : 1
51 -> 61 : 1
51 -> 41 : 1
51 -> 50 : 1
61 -> 62 : 1
61 -> 71 : 1
62 -> 72 : 1
72 -> 82 : 1
82 -> 92 : 1
92 -> 2 : 1
2 -> 12 : 1
12 -> 13 : 1
12 -> 22 : 1
13 -> 12 : 1
13 -> 23 : 1
22 -> 23 : 1
23 -> 13 : 1
23 -> 24 : 1
23 -> 33 : 1
33 -> 43 : 1
43 -> 42 : 2
42 -> 52 : 1
42 -> 43 : 1
42 -> 41 : 1
52 -> 42 : 1
41 -> 51 : 2
60 -> 61 : 1
60 -> 50 : 1
71 -> 70 : 1
70 -> 60 : 1
30 -> 20 : 2
20 -> 30 : 1
20 -> 29 : 1
20 -> 21 : 1
29 -> 19 : 1
29 -> 20 : 1
19 -> 29 : 1
21 -> 31
 : 1


***** Distributions ORDER 1 *****
16 -> 17 : 0.5
16 -> 15 : 0.25
16 -> 26 : 0.25
17 -> 27 : 0.3333333333333333
17 -> 7 : 0.3333333333333333
17 -> 18 : 0.3333333333333333
27 -> 28 : 0.6666666666666666
27 -> 26 : 0.3333333333333333
28 -> 27 : 0.3333333333333333
28 -> 38 : 0.6666666666666666
26 -> 16 : 0.5
26 -> 36 : 0.25
26 -> 27 : 0.25
15 -> 25 : 0.3333333333333333
15 -> 5 : 0.3333333333333333
15 -> 16 : 0.3333333333333333
25 -> 26 : 0.5
25 -> 24 : 0.5
36 -> 37 : 0.3333333333333333
36 -> 26 : 0.3333333333333333
36 -> 35 : 0.3333333333333333
37 -> 36 : 0.6666666666666666
37 -> 47 : 0.3333333333333333
38 -> 37 : 0.5
38 -> 48 : 0.5
35 -> 25 : 1.0
24 -> 14 : 0.5
24 -> 23 : 0.5
14 -> 15 : 1.0
5 -> 15 : 1.0
7 -> 8 : 1.0
8 -> 18 : 1.0
18 -> 17 : 0.5
18 -> 28 : 0.5
48 -> 49 : 0.75
48 -> 47 : 0.25
49 -> 59 : 0.3333333333333333
49 -> 48 : 0.3333333333333333
49 -> 40 : 0.3333333333333333
59 -> 69 : 0.5
59 -> 58 : 0.5
69 -> 59 : 1.0
58 -> 57 : 1.0
57 -> 47 : 1.0
47 -> 48 : 0.6666666666666666
47 -> 37 : 0.3333333333333333
40 -> 50 : 0.5
40 -> 30 : 0.5
