***** Distribution. ORDER 1 *****
36,26 -> 25 : 0.3
36,26 -> 16 : 0.1
36,26 -> 27 : 0.3
36,26 -> 36 : 0.3
25,26 -> 27 : 0.33333
25,26 -> 36 : 0.11111
25,26 -> 16 : 0.33333
25,26 -> 25 : 0.22222
16,26 -> 36 : 0.25
16,26 -> 27 : 0.125
16,26 -> 16 : 0.125
16,26 -> 25 : 0.5
37,47 -> 57 : 0.3
37,47 -> 48 : 0.3
37,47 -> 46 : 0.4
38,37 -> 38 : 0.35714
38,37 -> 36 : 0.35714
38,37 -> 27 : 0.21429
38,37 -> 47 : 0.07143
36,35 -> 34 : 0.33333
36,35 -> 45 : 0.33333
36,35 -> 36 : 0.16667
36,35 -> 25 : 0.16667
34,35 -> 45 : 0.5
34,35 -> 36 : 0.25
34,35 -> 25 : 0.16667
34,35 -> 34 : 0.08333
34,33 -> 43 : 0.38462
34,33 -> 32 : 0.07692
34,33 -> 34 : 0.07692
34,33 -> 23 : 0.46154
33,43 -> 33 : 0.18182
33,43 -> 42 : 0.36364
33,43 -> 53 : 0.36364
33,43 -> 44 : 0.09091
32,42 -> 41 : 0.14286
32,42 -> 52 : 0.14286
32,42 -> 32 : 0.42857
32,42 -> 43 : 0.28571
42,41 -> 31 : 0.14286
42,41 -> 51 : 0.42857
42,41 -> 40 : 0.42857
41,31 -> 21 : 0.75
41,31 -> 30 : 0.25
21,31 -> 21 : 0.33333
21,31 -> 41 : 0.13333
21,31 -> 32 : 0.4
21,31 -> 30 : 0.13333
30,31 -> 41 : 0.66667
30,31 -> 32 : 0.33333
31,21 -> 31 : 0.5
31,21 -> 22 : 0.3
31,21 -> 11 : 0.2
11,10 -> 20 : 0.3
11,10 -> 0 : 0.6
11,10 -> 19 : 0.1
20,10 -> 0 : 0.25
20,10 -> 11 : 0.25
20,10 -> 19 : 0.25
20,10 -> 20 : 0.25
0,10 -> 19 : 0.2
0,10 -> 20 : 0.2
0,10 -> 0 : 0.2
0,10 -> 11 : 0.4
10,20 -> 10 : 0.16667
10,20 -> 29 : 0.41667
10,20 -> 30 : 0.33333
10,20 -> 21 : 0.08333
30,20 -> 30 : 0.18182
30,20 -> 29 : 0.18182
30,20 -> 21 : 0.36364
30,20 -> 10 : 0.27273
10,19 -> 29 : 0.375
10,19 -> 9 : 0.25
10,19 -> 10 : 0.375
29,19 -> 29 : 0.375
29,19 -> 10 : 0.375
29,19 -> 18 : 0.125
29,19 -> 9 : 0.125
18,19 -> 29 : 0.3
18,19 -> 18 : 0.1
18,19 -> 10 : 0.4
18,19 -> 9 : 0.2
19,29 -> 19 : 0.33333
19,29 -> 28 : 0.25
19,29 -> 20 : 0.08333
19,29 -> 39 : 0.33333
29,28 -> 18 : 0.22222
29,28 -> 38 : 0.33333
29,28 -> 29 : 0.22222
29,28 -> 27 : 0.22222
28,18 -> 17 : 0.25
28,18 -> 19 : 0.375
28,18 -> 8 : 0.375
17,18 -> 17 : 0.25
17,18 -> 19 : 0.25
17,18 -> 28 : 0.25
17,18 -> 8 : 0.25
18,17 -> 18 : 0.5
18,17 -> 7 : 0.33333
18,17 -> 16 : 0.16667
16,17 -> 18 : 0.2
16,17 -> 27 : 0.1
16,17 -> 7 : 0.3
16,17 -> 16 : 0.4
7,6 -> 5 : 0.14286
7,6 -> 16 : 0.28571
7,6 -> 96 : 0.28571
7,6 -> 7 : 0.28571
5,6 -> 16 : 0.33333
5,6 -> 5 : 0.16667
5,6 -> 96 : 0.5
6,16 -> 26 : 0.4
6,16 -> 17 : 0.4
6,16 -> 15 : 0.2
26,16 -> 17 : 0.5
26,16 -> 15 : 0.375
26,16 -> 26 : 0.125
28,38 -> 37 : 0.4
28,38 -> 48 : 0.2
28,38 -> 28 : 0.2
28,38 -> 39 : 0.2
37,38 -> 39 : 0.27273
37,38 -> 48 : 0.36364
37,38 -> 28 : 0.27273
37,38 -> 37 : 0.09091
38,39 -> 30 : 0.30769
38,39 -> 38 : 0.38462
38,39 -> 29 : 0.23077
38,39 -> 49 : 0.07692
30,39 -> 49 : 0.625
30,39 -> 29 : 0.25
30,39 -> 30 : 0.125
49,39 -> 49 : 0.53333
49,39 -> 38 : 0.2
49,39 -> 30 : 0.13333
49,39 -> 29 : 0.13333
39,30 -> 39 : 1.0
40,30 -> 20 : 0.5
40,30 -> 39 : 0.2
40,30 -> 31 : 0.1
40,30 -> 40 : 0.2
20,30 -> 31 : 0.375
20,30 -> 20 : 0.375
20,30 -> 40 : 0.125
20,30 -> 39 : 0.125
39,49 -> 39 : 0.2
39,49 -> 40 : 0.26667
39,49 -> 48 : 0.26667
39,49 -> 59 : 0.26667
35,45 -> 44 : 0.16667
35,45 -> 55 : 0.22222
35,45 -> 35 : 0.44444
35,45 -> 46 : 0.16667
55,56 -> 46 : 0.15385
55,56 -> 66 : 0.53846
55,56 -> 57 : 0.30769
45,55 -> 45 : 0.3
45,55 -> 56 : 0.2
45,55 -> 54 : 0.25
45,55 -> 65 : 0.25
51,50 -> 59 : 0.375
51,50 -> 60 : 0.25
51,50 -> 51 : 0.125
51,50 -> 40 : 0.25
50,40 -> 41 : 0.2
50,40 -> 30 : 0.3
50,40 -> 49 : 0.4
50,40 -> 50 : 0.1
40,41 -> 42 : 0.41667
40,41 -> 51 : 0.58333
50,51 -> 61 : 0.66667
50,51 -> 52 : 0.33333
51,61 -> 51 : 0.23077
51,61 -> 60 : 0.23077
51,61 -> 62 : 0.23077
51,61 -> 71 : 0.30769
79,69 -> 79 : 0.16667
79,69 -> 60 : 0.5
79,69 -> 68 : 0.08333
79,69 -> 59 : 0.25
69,79 -> 78 : 0.33333
69,79 -> 70 : 0.33333
69,79 -> 69 : 0.33333
78,79 -> 69 : 0.16667
78,79 -> 70 : 0.33333
78,79 -> 89 : 0.16667
78,79 -> 78 : 0.33333
70,80 -> 81 : 0.33333
70,80 -> 90 : 0.33333
70,80 -> 89 : 0.33333
89,80 -> 81 : 0.66667
89,80 -> 90 : 0.33333
80,81 -> 91 : 0.8
80,81 -> 82 : 0.2
81,91 -> 92 : 0.25
81,91 -> 1 : 0.25
81,91 -> 90 : 0.25
81,91 -> 81 : 0.25
92,82 -> 83 : 0.2
92,82 -> 81 : 0.6
92,82 -> 92 : 0.1
92,82 -> 72 : 0.1
83,82 -> 83 : 0.2
83,82 -> 72 : 0.26667
83,82 -> 81 : 0.46667
83,82 -> 92 : 0.06667
84,85 -> 75 : 0.16667
84,85 -> 84 : 0.33333
84,85 -> 95 : 0.33333
84,85 -> 86 : 0.16667
75,85 -> 86 : 0.2
75,85 -> 84 : 0.3
75,85 -> 75 : 0.2
75,85 -> 95 : 0.3
86,76 -> 66 : 0.42857
86,76 -> 75 : 0.28571
86,76 -> 77 : 0.14286
86,76 -> 86 : 0.14286
66,76 -> 66 : 0.38462
66,76 -> 86 : 0.23077
66,76 -> 75 : 0.30769
66,76 -> 77 : 0.07692
66,67 -> 66 : 0.4
66,67 -> 77 : 0.4
66,67 -> 68 : 0.2
19,10 -> 19 : 0.33333
19,10 -> 0 : 0.16667
19,10 -> 11 : 0.08333
19,10 -> 20 : 0.41667
9,19 -> 29 : 0.16667
9,19 -> 18 : 0.33333
9,19 -> 10 : 0.5
18,28 -> 27 : 0.44444
18,28 -> 38 : 0.11111
18,28 -> 29 : 0.44444
19,18 -> 28 : 0.33333
19,18 -> 19 : 0.33333
19,18 -> 8 : 0.33333
27,26 -> 36 : 0.4
27,26 -> 16 : 0.4
27,26 -> 25 : 0.2
15,16 -> 17 : 0.5
15,16 -> 26 : 0.08333
15,16 -> 6 : 0.33333
15,16 -> 15 : 0.08333
17,27 -> 28 : 0.6
17,27 -> 37 : 0.2
17,27 -> 26 : 0.2
28,27 -> 26 : 0.3
28,27 -> 28 : 0.5
28,27 -> 37 : 0.1
28,27 -> 17 : 0.1
26,27 -> 28 : 0.25
26,27 -> 17 : 0.5
26,27 -> 37 : 0.25
27,28 -> 27 : 0.36364
27,28 -> 38 : 0.18182
27,28 -> 29 : 0.18182
27,28 -> 18 : 0.27273
16,15 -> 25 : 0.55556
16,15 -> 16 : 0.11111
16,15 -> 14 : 0.22222
16,15 -> 5 : 0.11111
14,15 -> 5 : 0.44444
14,15 -> 25 : 0.11111
14,15 -> 14 : 0.11111
14,15 -> 16 : 0.33333
5,15 -> 16 : 0.5
5,15 -> 5 : 0.25
5,15 -> 25 : 0.25
15,25 -> 26 : 0.44444
15,25 -> 15 : 0.22222
15,25 -> 35 : 0.11111
15,25 -> 24 : 0.22222
35,25 -> 24 : 0.33333
35,25 -> 26 : 0.11111
35,25 -> 15 : 0.33333
35,25 -> 35 : 0.22222
25,24 -> 14 : 0.375
25,24 -> 34 : 0.5
25,24 -> 23 : 0.125
23,24 -> 23 : 0.2
23,24 -> 25 : 0.3
23,24 -> 34 : 0.4
23,24 -> 14 : 0.1
8,18 -> 17 : 0.27273
8,18 -> 19 : 0.18182
8,18 -> 28 : 0.45455
8,18 -> 8 : 0.09091
49,48 -> 47 : 0.5
49,48 -> 58 : 0.33333
49,48 -> 49 : 0.16667
48,49 -> 59 : 0.28571
48,49 -> 48 : 0.07143
48,49 -> 40 : 0.28571
48,49 -> 39 : 0.35714
69,59 -> 58 : 0.38889
69,59 -> 69 : 0.22222
69,59 -> 49 : 0.22222
69,59 -> 50 : 0.16667
48,47 -> 37 : 0.26316
48,47 -> 48 : 0.31579
48,47 -> 57 : 0.26316
48,47 -> 46 : 0.15789
49,40 -> 50 : 0.25
49,40 -> 30 : 0.25
49,40 -> 41 : 0.33333
49,40 -> 49 : 0.16667
40,50 -> 51 : 0.33333
40,50 -> 59 : 0.5
40,50 -> 40 : 0.16667
13,12 -> 22 : 0.18182
13,12 -> 11 : 0.18182
13,12 -> 2 : 0.36364
13,12 -> 13 : 0.27273
12,13 -> 12 : 0.375
12,13 -> 14 : 0.375
12,13 -> 3 : 0.25
23,13 -> 23 : 0.14286
23,13 -> 3 : 0.42857
23,13 -> 14 : 0.28571
23,13 -> 12 : 0.14286
13,23 -> 24 : 0.5
13,23 -> 33 : 0.5
50,60 -> 61 : 0.42857
50,60 -> 70 : 0.42857
50,60 -> 50 : 0.14286
29,20 -> 21 : 0.4
29,20 -> 30 : 0.1
29,20 -> 29 : 0.4
29,20 -> 10 : 0.1
20,29 -> 19 : 0.33333
20,29 -> 20 : 0.33333
20,29 -> 28 : 0.22222
20,29 -> 39 : 0.11111
0,1 -> 2 : 0.28571
0,1 -> 11 : 0.71429
91,1 -> 2 : 0.38889
91,1 -> 0 : 0.38889
91,1 -> 91 : 0.11111
91,1 -> 11 : 0.11111
1,2 -> 12 : 0.25
1,2 -> 3 : 0.375
1,2 -> 1 : 0.25
1,2 -> 92 : 0.125
22,12 -> 13 : 0.625
22,12 -> 2 : 0.125
22,12 -> 22 : 0.125
22,12 -> 11 : 0.125
1,91 -> 90 : 0.4
1,91 -> 92 : 0.4
1,91 -> 1 : 0.2
90,91 -> 1 : 0.75
90,91 -> 92 : 0.25
22,21 -> 22 : 0.22222
22,21 -> 11 : 0.44444
22,21 -> 31 : 0.33333
21,22 -> 21 : 0.18182
21,22 -> 12 : 0.27273
21,22 -> 23 : 0.18182
21,22 -> 32 : 0.36364
5,95 -> 94 : 0.26667
5,95 -> 5 : 0.2
5,95 -> 96 : 0.2
5,95 -> 85 : 0.33333
94,95 -> 85 : 0.27273
94,95 -> 94 : 0.36364
94,95 -> 5 : 0.27273
94,95 -> 96 : 0.09091
85,95 -> 85 : 0.30769
85,95 -> 94 : 0.38462
85,95 -> 5 : 0.30769
95,94 -> 84 : 0.23529
95,94 -> 4 : 0.17647
95,94 -> 93 : 0.35294
95,94 -> 95 : 0.23529
84,94 -> 93 : 0.3
84,94 -> 4 : 0.3
84,94 -> 95 : 0.4
93,94 -> 95 : 0.33333
93,94 -> 93 : 0.16667
93,94 -> 4 : 0.41667
93,94 -> 84 : 0.08333
94,84 -> 94 : 0.33333
94,84 -> 83 : 0.5
94,84 -> 74 : 0.16667
85,84 -> 94 : 0.5
85,84 -> 83 : 0.33333
85,84 -> 85 : 0.16667
95,85 -> 95 : 0.53333
95,85 -> 86 : 0.13333
95,85 -> 75 : 0.26667
95,85 -> 84 : 0.06667
87,77 -> 76 : 0.28571
87,77 -> 67 : 0.21429
87,77 -> 78 : 0.21429
87,77 -> 87 : 0.28571
57,67 -> 57 : 0.45455
57,67 -> 68 : 0.27273
57,67 -> 77 : 0.27273
67,57 -> 67 : 0.30769
67,57 -> 58 : 0.15385
67,57 -> 56 : 0.30769
67,57 -> 47 : 0.23077
58,57 -> 56 : 0.16667
58,57 -> 58 : 0.5
58,57 -> 47 : 0.33333
65,64 -> 74 : 0.25
65,64 -> 63 : 0.33333
65,64 -> 54 : 0.16667
65,64 -> 65 : 0.25
74,64 -> 54 : 0.4
74,64 -> 74 : 0.2
74,64 -> 63 : 0.2
74,64 -> 65 : 0.2
64,74 -> 75 : 0.25
64,74 -> 84 : 0.375
64,74 -> 64 : 0.1875
64,74 -> 73 : 0.1875
75,74 -> 64 : 0.375
75,74 -> 75 : 0.125
75,74 -> 73 : 0.25
75,74 -> 84 : 0.25
73,74 -> 75 : 0.25
73,74 -> 84 : 0.25
73,74 -> 64 : 0.25
73,74 -> 73 : 0.25
74,75 -> 74 : 0.33333
74,75 -> 85 : 0.16667
74,75 -> 76 : 0.5
52,51 -> 50 : 0.16667
52,51 -> 41 : 0.33333
52,51 -> 61 : 0.16667
52,51 -> 52 : 0.33333
72,62 -> 72 : 0.125
72,62 -> 63 : 0.125
72,62 -> 61 : 0.5
72,62 -> 52 : 0.25
90,80 -> 81 : 0.8
90,80 -> 90 : 0.2
80,90 -> 80 : 0.125
80,90 -> 99 : 0.25
80,90 -> 0 : 0.5
80,90 -> 91 : 0.125
91,90 -> 91 : 0.2
91,90 -> 99 : 0.4
91,90 -> 0 : 0.2
91,90 -> 80 : 0.2
10,0 -> 1 : 0.44444
10,0 -> 90 : 0.11111
10,0 -> 9 : 0.33333
10,0 -> 10 : 0.11111
32,31 -> 21 : 0.22222
32,31 -> 32 : 0.33333
32,31 -> 41 : 0.22222
32,31 -> 30 : 0.22222
61,71 -> 61 : 0.33333
61,71 -> 70 : 0.26667
61,71 -> 72 : 0.26667
61,71 -> 81 : 0.13333
70,71 -> 72 : 0.3
70,71 -> 81 : 0.7
84,74 -> 84 : 0.6
84,74 -> 73 : 0.2
84,74 -> 64 : 0.2
74,84 -> 74 : 0.2
74,84 -> 83 : 0.4
74,84 -> 94 : 0.3
74,84 -> 85 : 0.1
84,83 -> 82 : 0.30769
84,83 -> 93 : 0.38462
84,83 -> 84 : 0.15385
84,83 -> 73 : 0.15385
82,72 -> 71 : 0.55556
82,72 -> 73 : 0.11111
82,72 -> 62 : 0.22222
82,72 -> 82 : 0.11111
94,93 -> 94 : 0.5
94,93 -> 92 : 0.33333
94,93 -> 83 : 0.16667
90,99 -> 89 : 0.33333
90,99 -> 90 : 0.5
90,99 -> 98 : 0.16667
8,98 -> 99 : 0.33333
8,98 -> 8 : 0.33333
8,98 -> 97 : 0.16667
8,98 -> 88 : 0.16667
99,98 -> 99 : 0.5
99,98 -> 97 : 0.16667
99,98 -> 8 : 0.33333
97,98 -> 88 : 0.4
97,98 -> 97 : 0.4
97,98 -> 8 : 0.2
88,98 -> 97 : 0.25
88,98 -> 8 : 0.375
88,98 -> 99 : 0.25
88,98 -> 88 : 0.125
98,97 -> 98 : 0.28571
98,97 -> 96 : 0.42857
98,97 -> 7 : 0.28571
71,70 -> 79 : 0.28571
71,70 -> 60 : 0.28571
71,70 -> 71 : 0.21429
71,70 -> 80 : 0.21429
73,72 -> 71 : 0.54545
73,72 -> 73 : 0.27273
73,72 -> 62 : 0.18182
72,73 -> 72 : 0.5
72,73 -> 63 : 0.25
72,73 -> 83 : 0.25
73,63 -> 53 : 0.33333
73,63 -> 73 : 0.5
73,63 -> 64 : 0.16667
62,63 -> 64 : 0.44444
62,63 -> 53 : 0.44444
62,63 -> 62 : 0.11111
63,53 -> 54 : 0.27273
63,53 -> 43 : 0.36364
63,53 -> 52 : 0.27273
63,53 -> 63 : 0.09091
41,40 -> 30 : 0.28571
41,40 -> 49 : 0.28571
41,40 -> 41 : 0.42857
3,13 -> 23 : 0.30769
3,13 -> 3 : 0.15385
3,13 -> 14 : 0.15385
3,13 -> 12 : 0.38462
14,24 -> 14 : 0.16667
14,24 -> 23 : 0.5
14,24 -> 34 : 0.33333
24,14 -> 24 : 0.5
24,14 -> 15 : 0.25
24,14 -> 13 : 0.25
17,16 -> 26 : 0.2
17,16 -> 6 : 0.3
17,16 -> 15 : 0.4
17,16 -> 17 : 0.1
85,75 -> 74 : 0.44444
85,75 -> 65 : 0.44444
85,75 -> 76 : 0.11111
99,90 -> 91 : 0.42857
99,90 -> 0 : 0.28571
99,90 -> 99 : 0.14286
99,90 -> 80 : 0.14286
40,49 -> 48 : 0.375
40,49 -> 40 : 0.25
40,49 -> 39 : 0.25
40,49 -> 59 : 0.125
60,70 -> 79 : 0.3
60,70 -> 80 : 0.2
60,70 -> 71 : 0.3
60,70 -> 60 : 0.2
68,69 -> 68 : 0.3
68,69 -> 59 : 0.3
68,69 -> 60 : 0.3
68,69 -> 79 : 0.1
48,38 -> 39 : 0.4
48,38 -> 28 : 0.2
48,38 -> 48 : 0.2
48,38 -> 37 : 0.2
39,38 -> 37 : 0.46667
39,38 -> 39 : 0.26667
39,38 -> 48 : 0.26667
29,39 -> 38 : 0.41667
29,39 -> 29 : 0.25
29,39 -> 49 : 0.16667
29,39 -> 30 : 0.16667
28,29 -> 39 : 0.44444
28,29 -> 28 : 0.22222
28,29 -> 19 : 0.22222
28,29 -> 20 : 0.11111
39,29 -> 20 : 0.625
39,29 -> 39 : 0.125
39,29 -> 19 : 0.125
39,29 -> 28 : 0.125
37,27 -> 28 : 0.5
37,27 -> 37 : 0.25
37,27 -> 17 : 0.25
31,32 -> 31 : 0.33333
31,32 -> 42 : 0.25
31,32 -> 33 : 0.25
31,32 -> 22 : 0.16667
54,64 -> 74 : 0.33333
54,64 -> 65 : 0.22222
54,64 -> 54 : 0.33333
54,64 -> 63 : 0.11111
94,4 -> 5 : 0.41667
94,4 -> 14 : 0.16667
94,4 -> 3 : 0.25
94,4 -> 94 : 0.16667
5,4 -> 14 : 0.33333
5,4 -> 5 : 0.08333
5,4 -> 94 : 0.08333
5,4 -> 3 : 0.5
14,4 -> 14 : 0.16667
14,4 -> 94 : 0.33333
14,4 -> 3 : 0.33333
14,4 -> 5 : 0.16667
3,4 -> 14 : 0.4
3,4 -> 5 : 0.1
3,4 -> 94 : 0.4
3,4 -> 3 : 0.1
4,14 -> 4 : 0.25
4,14 -> 24 : 0.25
4,14 -> 13 : 0.375
4,14 -> 15 : 0.125
14,13 -> 3 : 0.75
14,13 -> 14 : 0.25
13,3 -> 93 : 0.375
13,3 -> 4 : 0.375
13,3 -> 2 : 0.125
13,3 -> 13 : 0.125
15,5 -> 6 : 0.3
15,5 -> 4 : 0.4
15,5 -> 95 : 0.3
6,5 -> 95 : 0.2
6,5 -> 6 : 0.2
6,5 -> 4 : 0.4
6,5 -> 15 : 0.2
95,5 -> 95 : 0.66667
95,5 -> 6 : 0.25
95,5 -> 4 : 0.08333
96,6 -> 5 : 0.5
96,6 -> 16 : 0.5
95,96 -> 6 : 0.25
95,96 -> 95 : 0.375
95,96 -> 86 : 0.25
95,96 -> 97 : 0.125
6,96 -> 86 : 0.3
6,96 -> 95 : 0.2
6,96 -> 6 : 0.2
6,96 -> 97 : 0.3
86,96 -> 97 : 0.44444
86,96 -> 95 : 0.22222
86,96 -> 6 : 0.11111
86,96 -> 86 : 0.22222
97,96 -> 86 : 0.33333
97,96 -> 95 : 0.66667
96,97 -> 87 : 0.25
96,97 -> 7 : 0.5
96,97 -> 98 : 0.25
87,97 -> 98 : 0.5
87,97 -> 7 : 0.25
87,97 -> 87 : 0.25
7,97 -> 96 : 0.25
7,97 -> 98 : 0.25
7,97 -> 87 : 0.5
97,87 -> 88 : 0.33333
97,87 -> 77 : 0.33333
97,87 -> 97 : 0.16667
97,87 -> 86 : 0.16667
88,87 -> 77 : 0.5
88,87 -> 97 : 0.33333
88,87 -> 86 : 0.16667
87,88 -> 87 : 0.16667
87,88 -> 89 : 0.33333
87,88 -> 78 : 0.16667
87,88 -> 98 : 0.33333
78,88 -> 89 : 0.5
78,88 -> 87 : 0.25
78,88 -> 98 : 0.25
89,88 -> 87 : 0.75
89,88 -> 98 : 0.25
98,88 -> 98 : 0.66667
98,88 -> 87 : 0.33333
98,8 -> 98 : 0.28571
98,8 -> 7 : 0.28571
98,8 -> 18 : 0.28571
98,8 -> 9 : 0.14286
7,8 -> 7 : 0.25
7,8 -> 18 : 0.375
7,8 -> 9 : 0.375
8,7 -> 8 : 0.28571
8,7 -> 97 : 0.28571
8,7 -> 6 : 0.14286
8,7 -> 17 : 0.28571
75,76 -> 86 : 0.375
75,76 -> 77 : 0.125
75,76 -> 75 : 0.375
75,76 -> 66 : 0.125
65,66 -> 65 : 0.33333
65,66 -> 56 : 0.44444
65,66 -> 76 : 0.22222
47,57 -> 58 : 0.18182
47,57 -> 56 : 0.27273
47,57 -> 67 : 0.36364
47,57 -> 47 : 0.18182
65,55 -> 54 : 0.4375
65,55 -> 65 : 0.25
65,55 -> 45 : 0.125
65,55 -> 56 : 0.1875
55,65 -> 66 : 0.26667
55,65 -> 64 : 0.2
55,65 -> 55 : 0.26667
55,65 -> 75 : 0.26667
66,65 -> 55 : 0.5
66,65 -> 66 : 0.3
66,65 -> 75 : 0.1
66,65 -> 64 : 0.1
59,49 -> 59 : 0.2
59,49 -> 40 : 0.4
59,49 -> 39 : 0.3
59,49 -> 48 : 0.1
38,28 -> 29 : 0.16667
38,28 -> 18 : 0.16667
38,28 -> 38 : 0.5
38,28 -> 27 : 0.16667
9,8 -> 98 : 0.3
9,8 -> 9 : 0.3
9,8 -> 7 : 0.2
9,8 -> 18 : 0.2
33,34 -> 24 : 0.16667
33,34 -> 33 : 0.08333
33,34 -> 35 : 0.58333
33,34 -> 44 : 0.16667
97,7 -> 6 : 0.33333
97,7 -> 8 : 0.5
97,7 -> 17 : 0.16667
16,6 -> 96 : 0.33333
16,6 -> 16 : 0.16667
16,6 -> 7 : 0.33333
16,6 -> 5 : 0.16667
96,95 -> 96 : 0.27273
96,95 -> 85 : 0.27273
96,95 -> 94 : 0.18182
96,95 -> 5 : 0.27273
4,5 -> 95 : 0.4
4,5 -> 15 : 0.4
4,5 -> 4 : 0.2
4,94 -> 93 : 0.44444
4,94 -> 84 : 0.22222
4,94 -> 95 : 0.22222
4,94 -> 4 : 0.11111
92,91 -> 1 : 0.375
92,91 -> 92 : 0.375
92,91 -> 81 : 0.25
21,20 -> 10 : 0.14286
21,20 -> 21 : 0.28571
21,20 -> 30 : 0.14286
21,20 -> 29 : 0.42857
64,63 -> 62 : 0.11111
64,63 -> 53 : 0.33333
64,63 -> 64 : 0.44444
64,63 -> 73 : 0.11111
53,63 -> 64 : 0.71429
53,63 -> 62 : 0.28571
63,64 -> 63 : 0.25
63,64 -> 74 : 0.33333
63,64 -> 54 : 0.16667
63,64 -> 65 : 0.25
86,85 -> 84 : 0.2
86,85 -> 86 : 0.2
86,85 -> 75 : 0.6
92,93 -> 3 : 0.27273
92,93 -> 92 : 0.27273
92,93 -> 83 : 0.36364
92,93 -> 94 : 0.09091
72,82 -> 81 : 0.2
72,82 -> 72 : 0.2
72,82 -> 92 : 0.4
72,82 -> 83 : 0.2
81,82 -> 92 : 0.125
81,82 -> 72 : 0.375
81,82 -> 81 : 0.4375
81,82 -> 83 : 0.0625
82,81 -> 82 : 0.41667
82,81 -> 80 : 0.20833
82,81 -> 91 : 0.20833
82,81 -> 71 : 0.16667
82,92 -> 82 : 0.2
82,92 -> 93 : 0.4
82,92 -> 2 : 0.2
82,92 -> 91 : 0.2
81,80 -> 89 : 0.25
81,80 -> 90 : 0.5
81,80 -> 70 : 0.25
12,11 -> 10 : 0.5
12,11 -> 1 : 0.375
12,11 -> 21 : 0.125
27,37 -> 38 : 0.5
27,37 -> 47 : 0.5
13,14 -> 4 : 0.375
13,14 -> 15 : 0.5
13,14 -> 24 : 0.125
77,76 -> 66 : 0.44444
77,76 -> 75 : 0.11111
77,76 -> 77 : 0.44444
75,65 -> 55 : 0.5
75,65 -> 75 : 0.125
75,65 -> 64 : 0.25
75,65 -> 66 : 0.125
64,65 -> 64 : 0.33333
64,65 -> 55 : 0.33333
64,65 -> 75 : 0.11111
64,65 -> 66 : 0.22222
64,54 -> 44 : 0.3
64,54 -> 64 : 0.2
64,54 -> 53 : 0.3
64,54 -> 55 : 0.2
91,81 -> 82 : 0.33333
91,81 -> 71 : 0.66667
11,12 -> 2 : 0.14286
11,12 -> 13 : 0.28571
11,12 -> 22 : 0.42857
11,12 -> 11 : 0.14286
91,92 -> 2 : 0.375
91,92 -> 82 : 0.25
91,92 -> 93 : 0.375
83,84 -> 85 : 0.33333
83,84 -> 83 : 0.33333
83,84 -> 94 : 0.22222
83,84 -> 74 : 0.11111
2,3 -> 93 : 0.4
2,3 -> 13 : 0.3
2,3 -> 4 : 0.3
80,89 -> 99 : 0.5
80,89 -> 80 : 0.25
80,89 -> 79 : 0.25
25,15 -> 25 : 0.1
25,15 -> 16 : 0.4
25,15 -> 5 : 0.4
25,15 -> 14 : 0.1
63,73 -> 63 : 0.33333
63,73 -> 83 : 0.33333
63,73 -> 74 : 0.33333
31,30 -> 31 : 0.4
31,30 -> 39 : 0.2
31,30 -> 20 : 0.4
21,11 -> 12 : 0.4
21,11 -> 10 : 0.4
21,11 -> 21 : 0.2
9,0 -> 9 : 0.33333
9,0 -> 90 : 0.22222
9,0 -> 1 : 0.33333
9,0 -> 10 : 0.11111
19,9 -> 99 : 1.0
67,68 -> 58 : 0.27273
67,68 -> 67 : 0.18182
67,68 -> 78 : 0.36364
67,68 -> 69 : 0.18182
18,8 -> 9 : 0.33333
18,8 -> 7 : 0.33333
18,8 -> 18 : 0.33333
30,40 -> 50 : 0.33333
30,40 -> 30 : 0.66667
17,7 -> 8 : 0.25
17,7 -> 97 : 0.5
17,7 -> 17 : 0.25
6,7 -> 8 : 0.25
6,7 -> 6 : 0.5
6,7 -> 17 : 0.25
71,81 -> 82 : 0.4
71,81 -> 80 : 0.3
71,81 -> 71 : 0.2
71,81 -> 91 : 0.1
27,17 -> 27 : 0.33333
27,17 -> 18 : 0.33333
27,17 -> 16 : 0.33333
7,17 -> 27 : 0.75
7,17 -> 16 : 0.25
11,1 -> 11 : 0.57143
11,1 -> 2 : 0.14286
11,1 -> 0 : 0.28571
12,22 -> 21 : 0.33333
12,22 -> 23 : 0.11111
12,22 -> 32 : 0.22222
12,22 -> 12 : 0.33333
65,75 -> 85 : 0.57143
65,75 -> 65 : 0.28571
65,75 -> 76 : 0.14286
76,75 -> 74 : 0.3
76,75 -> 76 : 0.3
76,75 -> 65 : 0.3
76,75 -> 85 : 0.1
22,32 -> 31 : 0.4
22,32 -> 33 : 0.4
22,32 -> 42 : 0.2
76,77 -> 87 : 0.57143
76,77 -> 67 : 0.14286
76,77 -> 78 : 0.14286
76,77 -> 76 : 0.14286
77,87 -> 77 : 0.35714
77,87 -> 88 : 0.14286
77,87 -> 86 : 0.42857
77,87 -> 97 : 0.07143
88,78 -> 88 : 0.5
88,78 -> 68 : 0.5
77,78 -> 68 : 0.25
77,78 -> 79 : 0.5
77,78 -> 88 : 0.25
88,89 -> 88 : 0.5
88,89 -> 99 : 0.5
15,14 -> 15 : 0.5
15,14 -> 4 : 0.5
79,89 -> 79 : 1.0
***** Distribution. ORDER 3 *****
35,36,46 -> 56 : 0.66667
35,36,46 -> 36 : 0.33333
