***** Distribution. ORDER 1 *****
75 -> 65 : 0.25581
85 -> 86 : 0.23404
85 -> 75 : 0.2766
85 -> 95 : 0.29787
85 -> 84 : 0.19149
86 -> 76 : 0.19608
86 -> 96 : 0.2549
86 -> 87 : 0.39216
86 -> 85 : 0.15686
96 -> 86 : 0.33333
96 -> 95 : 0.33333
96 -> 6 : 0.12821
96 -> 97 : 0.20513
87 -> 86 : 0.35294
87 -> 97 : 0.15686
87 -> 88 : 0.17647
87 -> 77 : 0.31373
97 -> 98 : 0.29032
97 -> 96 : 0.22581
97 -> 87 : 0.22581
97 -> 7 : 0.25806
98 -> 99 : 0.30556
98 -> 97 : 0.22222
98 -> 88 : 0.13889
98 -> 8 : 0.33333
99 -> 9 : 0.31429
99 -> 89 : 0.22857
99 -> 98 : 0.17143
99 -> 90 : 0.28571
9 -> 8 : 0.325
9 -> 19 : 0.175
9 -> 99 : 0.25
9 -> 0 : 0.25
8 -> 9 : 0.31707
8 -> 18 : 0.26829
8 -> 98 : 0.21951
8 -> 7 : 0.19512
19 -> 10 : 0.42105
19 -> 29 : 0.34211
19 -> 18 : 0.10526
19 -> 9 : 0.13158
10 -> 11 : 0.17778
10 -> 20 : 0.31111
10 -> 0 : 0.31111
10 -> 19 : 0.2
21 -> 20 : 0.15789
21 -> 31 : 0.4386
21 -> 22 : 0.29825
21 -> 11 : 0.10526
20 -> 21 : 0.34694
20 -> 10 : 0.14286
20 -> 30 : 0.22449
20 -> 29 : 0.28571
31 -> 41 : 0.3
31 -> 21 : 0.24
31 -> 32 : 0.32
31 -> 30 : 0.14
41 -> 51 : 0.39583
41 -> 42 : 0.29167
41 -> 31 : 0.10417
41 -> 40 : 0.20833
62 -> 72 : 0.26531
62 -> 52 : 0.20408
62 -> 61 : 0.26531
62 -> 63 : 0.26531
81 -> 71 : 0.22807
81 -> 91 : 0.29825
81 -> 82 : 0.31579
81 -> 80 : 0.15789
63 -> 62 : 0.18605
63 -> 73 : 0.13953
63 -> 64 : 0.39535
63 -> 53 : 0.27907
0 -> 90 : 0.28571
0 -> 9 : 0.19643
0 -> 10 : 0.17857
0 -> 1 : 0.33929
90 -> 0 : 0.28571
90 -> 91 : 0.33333
90 -> 80 : 0.19048
90 -> 99 : 0.19048
89 -> 99 : 0.31818
89 -> 79 : 0.36364
89 -> 80 : 0.13636
89 -> 88 : 0.18182
79 -> 78 : 0.25714
79 -> 70 : 0.31429
79 -> 69 : 0.34286
79 -> 89 : 0.08571
88 -> 98 : 0.44444
88 -> 89 : 0.18519
88 -> 87 : 0.25926
88 -> 78 : 0.11111
70 -> 79 : 0.26667
70 -> 80 : 0.22222
70 -> 60 : 0.26667
70 -> 71 : 0.24444
80 -> 70 : 0.16129
80 -> 81 : 0.35484
80 -> 90 : 0.29032
80 -> 89 : 0.19355
60 -> 69 : 0.2963
60 -> 61 : 0.25926
60 -> 50 : 0.24074
60 -> 70 : 0.2037
40 -> 30 : 0.27273
40 -> 41 : 0.29545
40 -> 50 : 0.15909
40 -> 49 : 0.27273
30 -> 31 : 0.30769
30 -> 39 : 0.23077
30 -> 20 : 0.33333
30 -> 40 : 0.12821
25 -> 35 : 0.23913
25 -> 26 : 0.21739
25 -> 15 : 0.32609
25 -> 24 : 0.21739
27 -> 17 : 0.1875
27 -> 26 : 0.21875
27 -> 28 : 0.40625
27 -> 37 : 0.1875
17 -> 16 : 0.32353
17 -> 18 : 0.32353
17 -> 7 : 0.17647
17 -> 27 : 0.17647
16 -> 26 : 0.22727
16 -> 17 : 0.34091
16 -> 15 : 0.22727
16 -> 6 : 0.20455
84 -> 94 : 0.31818
84 -> 85 : 0.15909
84 -> 74 : 0.15909
84 -> 83 : 0.36364
29 -> 19 : 0.2449
29 -> 28 : 0.22449
29 -> 20 : 0.2449
29 -> 39 : 0.28571
28 -> 18 : 0.2093
28 -> 38 : 0.25581
28 -> 27 : 0.25581
28 -> 29 : 0.27907
18 -> 17 : 0.2
18 -> 19 : 0.28571
18 -> 28 : 0.31429
18 -> 8 : 0.2
7 -> 6 : 0.28571
7 -> 8 : 0.32143
7 -> 97 : 0.21429
7 -> 17 : 0.17857
6 -> 5 : 0.21429
6 -> 16 : 0.25
6 -> 96 : 0.39286
6 -> 7 : 0.14286
5 -> 6 : 0.18605
5 -> 15 : 0.11628
5 -> 95 : 0.4186
5 -> 4 : 0.27907
39 -> 30 : 0.18519
39 -> 49 : 0.33333
